title,release_date,release_year,release_month,release_quarter,release_era,genre,creative_type,content_rating,source_type,distributor,distributor_grouped,production_budget,domestic_revenue,worldwide_revenue,return_multiple,profitable,international_share,critic_score,audience_score,critic_audience_gap,audience_volume,log_budget,log_worldwide_revenue,log_audience_volume
Annie Get Your Gun,1950-05-17,1950,5,Q2,pre-1990,Musical,Unknown,Unknown,Based on Book/Short Story,MGM,MGM,3768785.0,8000000.0,8000000.0,2.122700021359669,1,0.0,100.0,71.0,29.0,1326.0,15.142263226313348,15.89495209964411,7.189922170745808
Quo Vadis?,1951-02-23,1951,2,Q1,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8250000.0,30000000.0,30000000.0,3.6363636363636362,1,0.0,88.0,58.0,30.0,898.0,15.925723758310864,17.216707939626428,6.8001700683022
Strangers on a Train,1951-07-03,1951,7,Q3,pre-1990,Unknown,Unknown,PG,Unknown,Warner Bros.,Warner Bros.,1200000.0,7000000.0,7000000.0,5.833333333333333,1,0.0,98.0,83.0,15.0,34284.0,13.997832114758229,15.761420707019587,10.442434052018774
Alice in Wonderland,1951-07-28,1951,7,Q3,pre-1990,Musical,Unknown,Unknown,Based on Book/Short Story,RKO Radio Pictures,Other,3000000.0,0.0,0.0,0.0,0,,20.0,67.0,-47.0,63458.0,14.914122846632385,,11.058133548725012
A Streetcar Named Desire,1951-09-18,1951,9,Q3,pre-1990,Unknown,Unknown,Unknown,Based on Play,Warner Bros.,Warner Bros.,1800000.0,8000000.0,8000000.0,4.444444444444445,1,0.0,,81.0,,33781.0,14.403297222866392,15.89495209964411,10.427653793239193
Show Boat,1951-09-24,1951,9,Q3,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2300000.0,11000000.0,11000000.0,4.782608695652174,1,0.0,89.0,69.0,20.0,1788.0,14.648419680899378,16.213405830762646,7.488852955733459
High Noon,1951-12-31,1951,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,730000.0,8000000.0,8000000.0,10.95890410958904,1,0.0,95.0,83.0,12.0,34163.0,13.500799813124575,15.89495209964411,10.438898466060431
The Greatest Show on Earth,1952-01-10,1952,1,Q1,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4000000.0,36000000.0,36000000.0,9.0,1,0.0,41.0,68.0,-27.0,4264.0,15.201804919084164,17.399029496420383,8.357962965845681
Singin' in the Rain,1952-04-10,1952,4,Q2,pre-1990,Unknown,Unknown,Unknown,Unknown,MGM,MGM,2540000.0,3600000.0,3600000.0,1.4173228346456692,1,0.0,100.0,84.0,16.0,55352.0,14.74767463899472,15.096444403426338,10.921468071178648
Niagara,1953-01-21,1953,1,Q1,pre-1990,Unknown,Unknown,Unknown,Unknown,20th Century Fox,20th Century Fox,1250000.0,2500000.0,2500000.0,2.0,1,0.0,,70.0,,4698.0,14.038654109278484,14.73180128983843,8.454892165218858
Peter Pan,1953-02-05,1953,2,Q1,pre-1990,Adventure,Fantasy,PG,Based on Book/Short Story,RKO Radio Pictures,Other,4000000.0,87400000.0,87400000.0,21.85,1,0.0,83.0,71.0,12.0,16894.0,15.201804919084164,18.286005840625762,9.734713808287442
House of Wax,1953-04-10,1953,4,Q2,pre-1990,Unknown,Unknown,R,Unknown,Unknown,Unknown,658000.0,23800000.0,23800000.0,36.170212765957444,1,0.0,94.0,54.0,40.0,32159.0,13.396960210307455,16.985196138641705,10.378447628282094
"The Beast from 20,000 Fathoms",1953-06-13,1953,6,Q2,pre-1990,Unknown,Unknown,Unknown,Based on Book/Short Story,Warner Bros.,Warner Bros.,210000.0,5000000.0,5000000.0,23.80952380952381,1,0.0,90.0,,,,12.254862809699606,15.424948470398375,
From Here to Eternity,1953-08-05,1953,8,Q3,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1650000.0,30500000.0,30500000.0,18.484848484848484,1,0.0,86.0,79.0,7.0,15115.0,14.316285845876763,17.23323724157764,9.623442907213558
The Robe,1953-09-16,1953,9,Q3,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5000000.0,36000000.0,36000000.0,7.2,1,0.0,38.0,67.0,-29.0,2913.0,15.424948470398375,17.399029496420383,7.976938756959434
The Egyptian,1953-12-31,1953,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5000000.0,15000000.0,15000000.0,3.0,1,0.0,,62.0,,1097.0,15.424948470398375,16.523560759066484,7.00033446027523
On the Waterfront,1954-07-28,1954,7,Q3,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,910000.0,9600000.0,9600000.0,10.54945054945055,1,0.0,100.0,84.0,16.0,41162.0,13.721199878493033,16.077273656438063,10.625270779632405
"20,000 Leagues Under the Sea",1954-12-23,1954,12,Q4,pre-1990,Adventure,Unknown,Unknown,Based on Book/Short Story,Walt Disney Pictures,Walt Disney Pictures,5000000.0,28200000.0,28200000.0,5.64,1,0.0,92.0,,,,15.424948470398375,17.15483253590834,
The Trouble With Harry,1955-10-03,1955,10,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Paramount Pictures,Paramount Pictures,1200000.0,7000000.0,7000000.0,5.833333333333333,1,0.0,89.0,72.0,17.0,11580.0,13.997832114758229,15.761420707019587,9.357034751126987
Love Me Tender,1955-12-31,1955,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1000000.0,9000000.0,9000000.0,9.0,1,0.0,38.0,59.0,-21.0,1301.0,13.815510557964274,16.012735135300492,7.170888478512505
Trapeze,1955-12-31,1955,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4000000.0,14400000.0,14400000.0,3.6,1,0.0,60.0,67.0,-7.0,1570.0,15.201804919084164,16.48273876454623,7.358830898342354
War and Peace,1955-12-31,1955,12,Q4,pre-1990,Unknown,Unknown,PG,Unknown,Unknown,Unknown,6000000.0,12500000.0,12500000.0,2.0833333333333335,1,0.0,50.0,68.0,-18.0,2923.0,15.60727002719233,16.34123920227253,7.980365765111246
Moby Dick,1955-12-31,1955,12,Q4,pre-1990,Adventure,Historical Fiction,Unknown,Based on Book/Short Story,Unknown,Unknown,4500000.0,10400000.0,10400000.0,2.311111111111111,1,0.0,67.0,74.0,-7.0,5969.0,15.319587954740548,16.1573163641116,8.69433468816865
The Ten Commandments,1956-10-05,1956,10,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,13500000.0,80000000.0,80000000.0,5.925925925925926,1,0.0,90.0,25.0,65.0,1677.0,16.41820024340866,18.197537192638155,7.424761761823209
Around the World in 80 Days,1956-10-17,1956,10,Q4,pre-1990,Adventure,Unknown,PG,Based on Book/Short Story,United Artists,Other,6000000.0,42000000.0,42000000.0,7.0,1,0.0,73.0,56.0,17.0,21516.0,15.60727002719233,17.553180176247643,9.976552123393134
Shichinin no samurai,1956-11-19,1956,11,Q4,pre-1990,Action,Historical Fiction,Unknown,Original Screenplay,Cowboy Pictures,Other,500000.0,271736.0,271736.0,0.543472,0,0.0,,88.0,,96698.0,13.122363377404328,12.512586285717079,11.479347998704231
The Wrong Man,1956-12-23,1956,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Warner Bros.,Warner Bros.,1200000.0,2000000.0,2000000.0,1.6666666666666667,1,0.0,89.0,75.0,14.0,7531.0,13.997832114758229,14.508657738524219,8.926783114101351
A Farewell To Arms,1956-12-31,1956,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5000000.0,11000000.0,11000000.0,2.2,1,0.0,,66.0,,1655.0,15.424948470398375,16.213405830762646,7.411556287811163
12 Angry Men,1957-04-13,1957,4,Q2,pre-1990,Drama,Unknown,Unknown,Original Screenplay,United Artists,Other,340000.0,0.0,0.0,0.0,0,,,89.0,,119101.0,12.736700896592344,,11.687727151613768
The Bridge on the River Kwai,1957-12-18,1957,12,Q4,pre-1990,Drama,Unknown,Unknown,Based on Book/Short Story,Sony/Columbia,Other,3000000.0,33300000.0,33300000.0,11.1,1,0.0,95.0,84.0,11.0,58641.0,14.914122846632385,17.32106795495067,10.979189389621132
Cat on a Hot Tin Roof,1958-09-20,1958,9,Q3,pre-1990,Drama,Contemporary Fiction,Unknown,Based on Play,MGM,MGM,3000000.0,17570324.0,17570324.0,5.8567746666666665,1,0.0,100.0,80.0,20.0,14540.0,14.914122846632385,16.681721900516877,9.58465875108751
The Nun's Story,1958-12-31,1958,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3500000.0,12800000.0,12800000.0,3.657142857142857,1,0.0,93.0,75.0,18.0,3313.0,15.068273526459642,16.364955728889846,8.105609402299896
Solomon and Sheba,1959-01-01,1959,1,Q1,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5000000.0,11000000.0,11000000.0,2.2,1,0.0,,60.0,,915.0,15.424948470398375,16.213405830762646,6.818924065275521
Some Like it Hot,1959-03-29,1959,3,Q1,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2883848.0,25000000.0,25000000.0,8.668972844615944,1,0.0,97.0,83.0,14.0,67157.0,14.874636071421065,17.034386382832476,11.114788440747668
Ben-Hur,1959-11-18,1959,11,Q4,pre-1990,Adventure,Unknown,Unknown,Based on Book/Short Story,MGM,MGM,15000000.0,73000000.0,73000000.0,4.866666666666666,1,0.0,91.0,82.0,9.0,58510.0,16.523560759066484,18.105969999112666,10.976952958782281
Elmer Gantry,1959-12-31,1959,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3000000.0,10400000.0,10400000.0,3.466666666666667,1,0.0,96.0,78.0,18.0,4185.0,14.914122846632385,16.1573163641116,8.339261982923576
The Apartment,1959-12-31,1959,12,Q4,pre-1990,Romantic Comedy,Unknown,Unknown,Original Screenplay,United Artists,Other,3000000.0,18600000.0,24600000.0,8.2,1,0.24390243902439024,91.0,84.0,7.0,36485.0,14.914122846632385,17.01825700090259,10.50465649619972
Exodus,1960-01-01,1960,1,Q1,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4000000.0,21750000.0,21750000.0,5.4375,1,0.0,67.0,68.0,-1.0,3546.0,15.201804919084164,16.89512431549897,8.173575486634153
Spartacus,1960-10-07,1960,10,Q4,pre-1990,Action,Dramatization,Unknown,Based on Book/Short Story,Universal,Universal,12000000.0,30000000.0,60000000.0,5.0,1,0.5,96.0,80.0,16.0,50856.0,16.300417207752275,17.909855120186375,10.836753388616245
The Alamo,1960-10-24,1960,10,Q4,pre-1990,Western,Historical Fiction,PG-13,Original Screenplay,United Artists,Other,12000000.0,7900000.0,7900000.0,0.6583333333333333,0,0.0,54.0,59.0,-5.0,10063.0,16.300417207752275,15.88237331743725,9.216620609933333
Pocketful of Miracles,1960-12-31,1960,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2900000.0,5000000.0,5000000.0,1.7241379310344827,1,0.0,63.0,72.0,-9.0,2365.0,14.880221294956703,15.424948470398375,7.768533300926033
The Misfits,1960-12-31,1960,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4000000.0,8200000.0,8200000.0,2.05,1,0.0,100.0,74.0,26.0,6351.0,15.201804919084164,15.919644712234481,8.756367559802975
The Hustler,1961-09-25,1961,9,Q3,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2000000.0,7600000.0,7600000.0,3.8,1,0.0,97.0,81.0,16.0,25385.0,14.508657738524219,15.84365880525656,10.141913727381494
West Side Story,1961-10-18,1961,10,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6000000.0,43700000.0,43700000.0,7.283333333333333,1,0.0,92.0,77.0,15.0,29488.0,15.60727002719233,17.59285866006582,10.291738679909605
The Man Who Shot Liberty Valance,1962-01-01,1962,1,Q1,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3200000.0,8000000.0,8000000.0,2.5,1,0.0,97.0,81.0,16.0,22681.0,14.978661367769956,15.89495209964411,10.029282848580436
Lolita (1962),1962-01-01,1962,1,Q1,pre-1990,Drama,Unknown,Unknown,Unknown,Unknown,Unknown,2000000.0,9250000.0,9250000.0,4.625,1,0.0,,,,,14.508657738524219,16.04013410948861,
State Fair,1962-03-09,1962,3,Q1,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4500000.0,3500000.0,3500000.0,0.7777777777777778,0,0.0,14.0,57.0,-43.0,436.0,15.319587954740548,15.068273526459642,6.077642243349034
The Longest Day,1962-10-04,1962,10,Q4,pre-1990,Action,Dramatization,Unknown,Based on Real Life Events,20th Century Fox,20th Century Fox,10000000.0,39100000.0,50100000.0,5.01,1,0.21956087824351297,92.0,78.0,14.0,17712.0,16.11809565095832,17.729531566055094,9.781997654948418
Mutiny on The Bounty,1962-11-08,1962,11,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,MGM,MGM,19000000.0,13680000.0,13680000.0,0.72,0,0.0,69.0,79.0,-10.0,7608.0,16.759949537130716,16.43144547015868,8.936955604225226
Lawrence of Arabia,1962-12-16,1962,12,Q4,pre-1990,Adventure,Dramatization,Unknown,Based on Book/Short Story,Sony Pictures,Sony Pictures,15000000.0,37495385.0,69995385.0,4.666359,1,0.4643163259977783,98.0,86.0,12.0,79421.0,16.523560759066484,18.063939869268822,11.282518095892803
To Kill A Mockingbird,1962-12-25,1962,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Universal,Universal,2000000.0,13129846.0,13129846.0,6.564923,1,0.0,97.0,84.0,13.0,82786.0,14.508657738524219,16.390398517345,11.324014243951753
Donovan's Reef,1962-12-31,1962,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2686000.0,6600000.0,6600000.0,2.4571854058078926,1,0.0,60.0,66.0,-6.0,2907.0,14.80356365606532,15.702580206996654,7.9748769005588755
55 Days at Peking,1962-12-31,1962,12,Q4,pre-1990,Drama,Unknown,Unknown,Original Screenplay,Unknown,Unknown,17000000.0,10000000.0,10000000.0,0.5882352941176471,0,0.0,57.0,68.0,-11.0,2104.0,16.64872390202049,16.11809565095832,7.651595573857601
Dr. No,1963-05-08,1963,5,Q2,pre-1990,Action,Unknown,Unknown,Based on Book/Short Story,MGM,MGM,1000000.0,16067035.0,59567035.0,59.567035,1,0.7302696869165974,,73.0,,36019.0,13.815510557964274,17.902612874990275,10.491801855990317
Hud,1963-05-29,1963,5,Q2,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2500000.0,10000000.0,10000000.0,4.0,1,0.0,79.0,34.0,45.0,93.0,14.73180128983843,16.11809565095832,4.532599493153256
Cleopatra,1963-06-12,1963,6,Q2,pre-1990,Drama,Dramatization,Unknown,Based on Real Life Events,20th Century Fox,20th Century Fox,36000000.0,48000000.0,62000000.0,1.7222222222222223,1,0.22580645161290322,40.0,68.0,-28.0,7870.0,17.399029496420383,17.942644943009366,8.970813341411448
The Great Escape,1963-08-08,1963,8,Q3,pre-1990,Unknown,Unknown,Unknown,Unknown,MGM,MGM,4000000.0,11744471.0,11744471.0,2.93611775,1,0.0,91.0,84.0,7.0,62074.0,15.201804919084164,16.27889313461806,11.036082500701703
Tom Jones,1963-10-07,1963,10,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1000000.0,37600000.0,37600000.0,37.6,1,0.0,81.0,70.0,11.0,4035.0,13.815510557964274,17.442514608360124,8.302761580704049
It's a Mad Mad Mad Mad World,1963-11-07,1963,11,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,9400000.0,46300000.0,60000000.0,6.382978723404255,1,0.22833333333333333,,75.0,,14460.0,16.056220247240233,17.909855120186375,9.579141495712756
The Fall of the Roman Empire,1964-01-01,1964,1,Q1,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,19000000.0,4750000.0,4750000.0,0.25,0,0.0,100.0,66.0,34.0,3184.0,16.759949537130716,15.373655176010823,8.065893546964274
From Russia With Love,1964-04-08,1964,4,Q2,pre-1990,Action,Unknown,Unknown,Based on Book/Short Story,MGM,MGM,2000000.0,24800000.0,78900000.0,39.45,1,0.6856780735107731,,75.0,,32541.0,14.508657738524219,18.1836917858161,10.390256111708327
A Hard Day's Night,1964-08-11,1964,8,Q3,pre-1990,Comedy,Contemporary Fiction,Unknown,Original Screenplay,Universal,Universal,560000.0,12299668.0,12299668.0,21.963692857142856,1,0.0,100.0,76.0,24.0,15291.0,13.235692062711331,16.32508282810844,9.63501969900815
Mary Poppins,1964-08-26,1964,8,Q3,pre-1990,Musical,Unknown,Unknown,Unknown,Unknown,Unknown,6000000.0,102300000.0,102300000.0,17.05,1,0.0,100.0,77.0,23.0,34302.0,15.60727002719233,18.443420230921856,10.442958940492026
My Fair Lady,1964-10-22,1964,10,Q4,pre-1990,Musical,Historical Fiction,Unknown,Based on Musical/Opera,Unknown,Unknown,17000000.0,72000000.0,72000000.0,4.235294117647059,1,0.0,94.0,79.0,15.0,28039.0,16.64872390202049,18.09217667698033,10.241351677174485
Goldfinger,1964-12-22,1964,12,Q4,pre-1990,Action,Unknown,Unknown,Based on Book/Short Story,MGM,MGM,3000000.0,51100000.0,124900000.0,41.63333333333333,1,0.5908726981585268,96.0,79.0,17.0,47095.0,14.914122846632385,18.643023975095804,10.759922117256918
The Greatest Story Ever Told,1965-02-15,1965,2,Q1,pre-1990,Drama,Unknown,G,Based on Book/Short Story,MGM,MGM,20000000.0,15473333.0,15473333.0,0.77366665,0,0.0,39.0,63.0,-24.0,3300.0,16.811242831518264,16.554628648600016,8.101677747454572
The Train,1965-03-07,1965,3,Q1,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5800000.0,6800000.0,6800000.0,1.1724137931034482,1,0.0,83.0,78.0,5.0,4692.0,15.573368475516649,15.732433170146335,8.453614209773367
The Sound of Music,1965-04-01,1965,4,Q2,pre-1990,Musical,Historical Fiction,Unknown,Based on Book/Short Story,20th Century Fox,20th Century Fox,8200000.0,163214286.0,286214286.0,34.904181219512196,1,0.42974794067407246,81.0,63.0,18.0,45.0,15.919644712234481,19.472251339983412,3.8066624897703196
Major Dundee,1965-04-07,1965,4,Q2,pre-1990,Western,Historical Fiction,PG-13,Based on Book/Short Story,Sony Pictures,Sony Pictures,3800000.0,14873.0,14873.0,0.003913947368421052,0,0.0,97.0,67.0,30.0,2588.0,15.150511624696614,9.607302767592598,7.858640655620791
Doctor Zhivago,1965-12-22,1965,12,Q4,pre-1990,Drama,Historical Fiction,PG-13,Based on Book/Short Story,MGM,MGM,11000000.0,111721000.0,111721000.0,10.156454545454546,1,0.0,84.0,80.0,4.0,27671.0,16.213405830762646,18.53151524994999,10.228140212351999
Thunderball,1965-12-29,1965,12,Q4,pre-1990,Action,Unknown,Unknown,Based on Book/Short Story,MGM,MGM,9000000.0,63600000.0,141200000.0,15.688888888888888,1,0.5495750708215298,91.0,70.0,21.0,27245.0,16.012735135300492,18.765687883023414,10.2126252970172
Harper,1966-02-23,1966,2,Q1,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3500000.0,12000000.0,12000000.0,3.4285714285714284,1,0.0,,70.0,,2395.0,15.068273526459642,16.300417207752275,7.781138509845015
Torn Curtain,1966-07-16,1966,7,Q3,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3000000.0,13000000.0,13000000.0,4.333333333333333,1,0.0,81.0,66.0,15.0,8670.0,14.914122846632385,16.38045991542581,9.067624069774588
Hawaii,1966-10-10,1966,10,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,MGM,MGM,15000000.0,34562222.0,34562222.0,2.3041481333333333,1,0.0,,64.0,,1153.0,16.523560759066484,17.35827179381484,7.050122520269059
A Man for All Seasons,1966-12-12,1966,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Sony Pictures,Sony Pictures,3900000.0,28350000.0,28350000.0,7.269230769230769,1,0.0,85.0,81.0,4.0,12460.0,15.176487111099874,17.160137588138035,9.430278792341444
In Cold Blood,1966-12-31,1966,12,Q4,pre-1990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3500000.0,13000000.0,13000000.0,3.7142857142857144,1,0.0,88.0,81.0,7.0,10562.0,15.068273526459642,16.38045991542581,9.26501793326688
Per un pugno di dollari,1967-01-18,1967,1,Q1,pre-1990,Western,Historical Fiction,Unknown,Remake,United Artists,Other,200000.0,3500000.0,3500000.0,17.5,1,0.0,,80.0,,39929.0,12.206072645530174,15.068273526459642,10.594858155916969
Casino Royale,1967-04-28,1967,4,Q2,pre-1990,Comedy,Contemporary Fiction,Unknown,Based on Book/Short Story,Sony Pictures,Sony Pictures,12000000.0,22744718.0,41744718.0,3.4787265,1,0.45514740331938525,30.0,80.0,-50.0,172936.0,16.300417207752275,17.547083486287384,12.060676862837889
Per qualche dollaro in pi˘,1967-05-10,1967,5,Q2,pre-1990,Western,Historical Fiction,Unknown,Original Screenplay,MGM,MGM,600000.0,4300000.0,4300000.0,7.166666666666667,1,0.0,,82.0,,44204.0,13.304684934198283,15.27412558066379,10.696570561708674
You Only Live Twice,1967-06-13,1967,6,Q2,pre-1990,Action,Unknown,Unknown,Based on Book/Short Story,MGM,MGM,9500000.0,43100000.0,111600000.0,11.74736842105263,1,0.6137992831541219,70.0,70.0,0.0,24701.0,16.06680235657077,18.530431607911485,10.114599007626499
In the Heat of the Night,1967-08-02,1967,8,Q3,pre-1990,Unknown,Unknown,Unknown,Unknown,MGM,MGM,2000000.0,24379978.0,24379978.0,12.189989,1,0.0,96.0,81.0,15.0,22429.0,14.508657738524219,17.009272779637993,10.018110043372825
